    40/799     9.22G   0.03406   0.02181  0.002235    0.0581        54       640    0.2136    0.4928    0.2061    0.1054   0.03994   0.04669  0.008599
    41/799     9.22G   0.03371   0.02169  0.002189   0.05759        62       640    0.2188    0.4818     0.211    0.1016   0.04088   0.04515  0.009408
    42/799     9.22G   0.03333   0.02139  0.002246   0.05697        64       640    0.2347    0.4721    0.2179    0.1176   0.03996   0.04557  0.009536
    43/799     9.22G   0.03311   0.02131  0.002279    0.0567        54       640    0.2352    0.4743    0.2043    0.1016   0.03966   0.04566  0.009252
    44/799     9.22G   0.03403    0.0215  0.001994   0.05753        47       640    0.2111    0.4907    0.2025    0.1009   0.03992   0.04729  0.009328
    45/799     9.22G   0.03265   0.02034  0.001979   0.05497        27       640    0.2234    0.4741    0.1983    0.1021   0.03943   0.04956   0.01069
    46/799     9.22G   0.03195   0.01987  0.002216   0.05404        43       640    0.2254    0.4528    0.1784   0.09064   0.03927   0.04995  0.009815
    47/799     9.22G   0.03155   0.02042  0.001779   0.05375        63       640    0.2312      0.47    0.1972   0.09775   0.04053    0.0478   0.01027
    48/799     9.22G   0.03113   0.02004  0.001739   0.05291        52       640    0.2176    0.4739    0.1992    0.1025   0.03993   0.04691   0.01061
    49/799     9.22G   0.03137   0.02146  0.001907   0.05474        64       640    0.2428    0.4889    0.2006    0.1032   0.03919   0.04923   0.01044
    50/799     9.22G   0.03139   0.02084  0.001838   0.05406        61       640    0.2358    0.4743    0.2066    0.1061    0.0405   0.05131   0.01082
    51/799     9.22G   0.03059   0.01976    0.0017   0.05206        64       640    0.2422    0.4734    0.2088    0.1073    0.0397   0.04987  0.009526
    52/799     9.22G   0.03138   0.01974  0.001863   0.05298        47       640    0.2406    0.4887    0.1996    0.1014   0.03937   0.05028  0.009727
    53/799     9.22G   0.02984   0.01987  0.001793    0.0515        52       640     0.235     0.486    0.2079    0.1102   0.03881   0.05245  0.009096
    54/799     9.22G   0.03116   0.02124  0.002058   0.05446        56       640     0.218    0.4582    0.1989   0.09249   0.03977   0.05081   0.01003
    55/799     9.22G   0.03196   0.02166  0.002229   0.05585        52       640    0.2257    0.5059    0.2188     0.113   0.03996   0.04779   0.01013
    56/799     9.22G   0.03132   0.01964  0.002001   0.05296        48       640    0.2237    0.4748    0.1967   0.09779   0.04015   0.04783  0.008695
    57/799     9.22G   0.03017   0.02061  0.001864   0.05265        53       640    0.2218    0.4512    0.2107    0.1078    0.0407   0.05183   0.01126
    58/799     9.22G    0.0291   0.02036   0.00149   0.05095        55       640    0.2231    0.4716    0.1947   0.09975   0.04022   0.05229   0.01055
    59/799     9.22G   0.03078   0.01984  0.001757   0.05237        51       640    0.2211    0.4489    0.1883   0.09546   0.04194   0.05007   0.01109
    60/799     9.22G   0.02897   0.01917  0.001742   0.04988        49       640    0.2132    0.4541    0.1959    0.1017   0.04148   0.05183   0.01162
    61/799     9.22G   0.02948   0.01948  0.001856   0.05082        52       640    0.2201    0.4581    0.1946     0.101   0.04149   0.05073   0.01219
    62/799     9.22G   0.03019   0.01966  0.001664   0.05151        53       640     0.225    0.4757    0.1998    0.1024   0.04082   0.05223   0.01157
    63/799     9.22G    0.0292   0.01979  0.001769   0.05076        32       640     0.227    0.4731    0.2029    0.1046   0.04106   0.05281   0.01214
    64/799     9.22G    0.0293   0.01994  0.001692   0.05093        51       640    0.2369     0.452    0.1929   0.09774   0.04099   0.05151   0.01196
    65/799     9.22G   0.02858   0.01987  0.001617   0.05007        54       640    0.2297    0.4598    0.2015    0.1074   0.04055   0.05287    0.0119
    66/799     9.22G   0.02758   0.01879  0.001523    0.0479        66       640    0.2226    0.4625     0.192   0.09764    0.0417     0.054   0.01324
    67/799     9.22G   0.02835   0.01944  0.001792   0.04958        92       640    0.2329    0.4445    0.1886   0.09662   0.04204   0.05314   0.01161
    68/799     9.22G   0.02837   0.01878  0.001712   0.04887        51       640    0.2093    0.4514    0.1899    0.1021   0.04141   0.05192   0.01237
    69/799     9.22G   0.02734   0.01904  0.001519   0.04791        42       640    0.2204    0.4037    0.1671   0.08491   0.04196   0.05443   0.01166
    70/799     9.22G   0.02763   0.01858  0.001445   0.04766        47       640    0.2209    0.4442    0.1866   0.09804   0.04097   0.05429   0.01118
    71/799     9.22G   0.02776    0.0185   0.00152   0.04778        47       640     0.224    0.4339    0.1825   0.09342   0.04266   0.05323   0.01198
    72/799     9.22G   0.02758   0.01889  0.001647   0.04812        63       640    0.2297    0.4517     0.201    0.1062    0.0417   0.05464    0.0111
    73/799     9.22G   0.02719   0.01893  0.001618   0.04774        39       640    0.2329    0.4475    0.1836    0.0984   0.04061   0.05399   0.01183
    74/799     9.22G   0.02832   0.01918  0.001648   0.04915        45       640    0.2173    0.4309     0.174   0.08792   0.04125   0.05333   0.01291
    75/799     9.22G   0.02748   0.01822  0.001634   0.04734        55       640    0.2092    0.4552    0.1815   0.09791   0.04112   0.05394    0.0112
    76/799     9.22G   0.02737   0.01823  0.001716   0.04732        40       640    0.2242    0.4439    0.1744    0.0885   0.04164    0.0533   0.01159
    77/799     9.22G   0.02853   0.01833  0.001663   0.04852        60       640    0.2032    0.4532    0.1883   0.09951   0.04145   0.05427   0.01201
    78/799     9.22G   0.02758    0.0183  0.001598   0.04748        54       640    0.2196    0.4583    0.1923   0.09985   0.04157   0.05279   0.01082
    79/799     9.22G   0.02682   0.01836  0.001505   0.04669        53       640    0.2222    0.4459    0.1925    0.1028   0.04075   0.05551   0.01199
    80/799     9.22G   0.02719    0.0191  0.001499   0.04779        67       640    0.2183      0.42    0.1625   0.08333   0.04156   0.05633   0.01285
    81/799     9.22G    0.0255   0.01753  0.001541   0.04457        31       640     0.209     0.421    0.1726   0.09224   0.04268   0.05412   0.01208
    82/799     9.22G   0.02686   0.01848  0.001464    0.0468        62       640    0.2192    0.4224    0.1558   0.08382   0.04258    0.0559   0.01274
    83/799     9.22G   0.02633    0.0177  0.001645   0.04568        51       640    0.2203    0.4341    0.1585   0.07729   0.04251   0.05599   0.01377
    84/799     9.22G   0.02666   0.01805  0.001447   0.04616        41       640    0.2264    0.4449    0.1863   0.09701   0.04245   0.05338   0.01198
    85/799     9.22G    0.0257   0.01715  0.001403   0.04426        59       640    0.2219    0.4335    0.1687   0.08964   0.04242   0.05625   0.01126
    86/799     9.22G   0.02589   0.01731   0.00143   0.04464        36       640     0.215     0.447    0.1907    0.1002   0.04233   0.05666   0.01261
    87/799     9.22G    0.0264   0.01749  0.001457   0.04534        55       640    0.2109    0.4355    0.1746   0.09169   0.04261   0.05552   0.01176
    88/799     9.22G   0.02649   0.01798   0.00127   0.04574        67       640     0.218    0.4184    0.1757   0.09873   0.04166   0.05699   0.01158
